word,count
M e l b o u r n e,1
G r o u n d,1
d e c i s i o n,6
t h i r d,4
u m p i r e,5
m a k e s,3
r e v i e w,7
p l a y s,2
n e c e s s a r y,1
m o t o r s p o r t,1
o f f - f i e l d,2
m a k i n g,5
s c i e n c e,7
a c a d e m i c,8
d i s c i p l i n e,9
a p p l i e d,1
a r e a s,5
a t h l e t e,1
a n a l y s i s,12
f i n e - t u n e,1
t e c h n i q u e,1
i m p r o v e d,2
s h o e s,1
s w i m w e a r,1
e n g i n e e r i n g,1
e m e r g e d,3
1 9 9 8,2
f o c u s,7
m a t e r i a l s,2
d e s i g n,1
t e c h n o l o g y,10
a n a l y t i c s,1
b i g,2
d a t a,3
w e a r a b l e,1
c o n t r o l,7
f r e q u e n t l y,1
2 0 1 0,2
f u l l - b o d y,1
n o n - t e x t i l e,1
s w i m s u i t s,1
F I N A,1
e n h a n c i n g,1
s w i m m e r s,1
p e r f o r m a n c e s,2
d e c i s i o n s,7
m a t c h e s,2
t a k e n,2
r e v i e w e d,1
o f f i c i a l,9
u s i n g,7
i n s t a n t,2
r e p l a y s,4
n o w,4
c h a l l e n g e,4
m a d e,4
o f f i c i a l s,2
g o a l - l i n e,1
b a l l,1
c r o s s e d,1
g o a l,1
c o m p u l s o r y,1
F I F A,3
B r a z i l,1
C a n a d a,2
P r e m i e r,1
L e a g u e,1
2 0 1 3 – 1 4,1
B u n d e s l i g a,1
2 0 1 5 – 1 6,1
r e f e r e e,3
a s k,3
r e p l a y,1
b o o t h,1
h e a d,6
c o a c h,1
i s s u e,3
r e s t s,1
c o m m o n l y,2
k n o w n,8
T e l e v i s i o n,1
O f f i c i a l,1
T M O,1
d e c i s i o n - m a k i n g,2
u n i o n,3
c r i c k e t,1
T h i r d,1
i n t r o d u c e d,2
I C C - r u n,1
t o u r n a m e n t s,1
o p t i o n a l l y,1
D e p e n d i n g,2
h o s t,1
b r o a d c a s t e r,1
t e c h n o l o g i e s,2
p l a y e r,2
H a w k - E y e,2
H o t,1
S p o t,1
R e a l,1
T i m e,1
S n i c k o m e t e r,1
u m p i r i n g,1
s u g g e s t s,3
c a p a c i t y,1
c o n n e c t,1
a d u l t,1
r o l e,9
m o d e l s,1
p r o m o t e,6
l e a r n i n g,1
l i f e,8
r e c e n t,2
c r i m e,2
p r e v e n t,1
e x t r e m i s m,1
r a d i c a l i z a t i o n,1
t o o l,3
s e l f - e s t e e m,1
b o n d s,1
f e e l i n g,4
h i g h - q u a l i t y,2
e v i d e n c e,23
e f f e c t i v e n e s s,1
i n t e r v e n t i o n s,2
c o m m u n i t y,3
c a m p a i g n s,1
s e s s i o n s,1
c h a n g e s,2
s t u d i e s,7
i n v e s t i g a t e,3
e f f e c t,4
p r o m o t i n g,1
h e a l t h y,1
c h a n g e,8
P o l i t i c s,4
S p o r t s w a s h i n g,1
B e n i t o,1
M u s s o l i n i,1
1 9 3 4,1
I t a l y,2
s h o w c a s e,1
F a s c i s t,1
A d o l f,1
H i t l e r,1
1 9 3 6,2
S u m m e r,1
W i n t e r,1
G a r m i s c h - P a r t e n k i r c h e n,1
N a z i,1
i d e o l o g y,2
